Tilltalsnamn,Antal bärare
ABDELLATEEF,2
ABDELLATIF,63
ABDEL-LATIF,3
ABDELLAZIZ,6
ABDELMADJID,5
ABDELMAGED,2
ABDELMAJED,6
ABDELMAJID,35
ABDELMALEK,16
ABDELMALIK,9
ABDELMASIH,5
ABDELMASSIH,11
ABDELMENEM,3
ABDELMESIH,2
ABDELMESSIH,2
ABDELMJID,4
ABDELMOHSEN,2
ABDELMOMEN,2
ABDELMONEIM,5
ABDELMONEM,6
ABDELMONIM,2
ABDELMOUNAIM,3
ABDELMOUNIM,3
ABDELMOUTALIB,2
ABDELMUNEM,3
ABDELNASER,4
ABDELNASSER,4
ABDELNASSIR,4
ABDELNOOR,2
ABDELNOUR,3
ABDELOUAHAB,7
ABDELOUAHED,10
ABDELOUAHHAB,2
ABDELOUAHID,8
ABDELQADER,5
ABDELRAHEEM,2
ABDELRAHIM,21
ABDELRAHMAN,200
ABDEL-RAHMAN,5
ABDELRAHMEN,2
ABDELRAMAN,2
ABDELRAOF,2
ABDELRAOUF,6
ABDELRASHID,4
ABDELRAZAG,2
ABDELRAZAK,4
ABDELRAZEK,5
ABDELRAZIK,2
ABDELRAZZAK,4
ABDELREHIM,2
ABDELREZAK,4
ABDELRHANI,2
ABDELRHMAN,3
ABDELSALAM,20
ABDEL-SALAM,3
ABDELSAMAD,2
ABDELSATAR,4
ABDELSATTAR,4
ABDELTIF,2
ABDELWAHAB,28
ABDELWAHAD,3
ABDELWAHEB,2
ABDELWAHED,5
ABDELWASIE,3
ABDELWEHAB,2
ABDELWHAB,2
ABDENACER,2
ABDENBI,3
ABDENNABI,2
ABDENNACER,2
ABDENNACEUR,3
ABDENNOUR,10
ABDENOR,2
ABDENOUR,10
ABDENUR,3
ABDERAHIM,4
ABDERAHMAN,10
ABDERAHMANE,2
ABDERAMAN,2
ABDERAZAK,2
ABDERRACHID,2
ABDERRAHIM,71
ABDERRAHMAN,35
ABDERRAHMANE,44
ABDERRAHMEN,2
ABDERRAHMENE,3
ABDERRAOUF,2
ABDERRAZAK,24
ABDERRAZEK,4
ABDERRAZZAK,6
ABDERREZAK,5
ABDESALAM,3
ABDESAMAD,2
ABDESLAM,24
ABDESLEM,2
ABDESSADEK,5
ABDESSALAM,5
ABDESSALEM,7
ABDESSAMAD,24
ABDESSATAR,5
ABDESSATTAR,2
ABDESSELAM,5
ABDESSLAM,7
ABDESSLEM,2
ABDI,1147
ABDI AZIZ,10
ABDI FATAAH,2
ABDI FATAH,5
ABDI HAMID,3
ABDI LATIF,2
ABDI MALIK,4
ABDI NAASIR,2
ABDI NAJIIB,2
ABDI NASIR,2
ABDI QADIR,2
ABDI QANI,3
ABDI RAHMAN,11
ABDI RASHID,4
ABDI RIZAK,2
ABDI SAMAD,2
ABDI SHAKUR,3
ABDI SHAKUUR,2
ABDIADIIM,2
ABDIASIIS,6
ABDIASIS,77
ABDIAZIIZ,8
ABDIAZIS,3
ABDIAZIZ,296
ABDI-AZIZ,8
ABDIAZZIZ,2
ABDIBAASID,3
ABDIBARI,2
ABDIBASID,21
ABDIBASIT,6
ABDICASIIS,3
ABDICASIS,3
ABDIDAHIR,3
ABDIDEEQ,2
ABDIFADIL,2
ABDIFATAAH,11
ABDIFATAAX,2
ABDIFATAH,479
ABDI-FATAH,6
ABDIFATHA,3
ABDIFATTAH,4
ABDIFETAH,8
ABDIFITAAH,5
ABDIFITAH,63
ABDIGADAR,5
ABDIGADIR,6
ABDIGAFAR,6
ABDIGANI,47
ABDIGHANI,2
ABDIHAAFID,2
ABDIHAFID,62
ABDI-HAFID,2
ABDIHAFIID,3
ABDIHAFIT,2
ABDIHAKIIM,8
ABDIHAKIIN,5
ABDIHAKIM,134
ABDI-HAKIM,2
ABDIHAKIM SAID,2
ABDIHAKIN,45
ABDIHALIM,11
ABDIHAMID,45
ABDIHAMIID,4
ABDII,2
ABDIJABAR,29
ABDIJABBAR,3
ABDIJALIL,6
ABDIJAMAL,3
ABDIJIBAAR,3
ABDIJIBAR,9
ABDIKAADIR,2
ABDIKAAFI,11
ABDIKADAR,20
ABDIKADER,12
ABDIKADIR,158
ABDIKAFAR,2
ABDIKAFI,61
ABDIKALIK,3
ABDIKALIQ,3
ABDIKAMIL,5
ABDIKANI,57
ABDIKARIIM,13
ABDIKARIIN,5
ABDIKARIM,222
ABDI-KARIM,2
ABDIKARIN,55
ABDIKENI,2
ABDIKHADAR,32
ABDIKHADER,3
ABDIKHADIR,5
ABDIKHAFAR,2
ABDIKHALAQ,4
ABDIKHALIK,6
ABDIKHALIQ,13
ABDIKHANI,12
ABDIKRIM,2
ABDIL,9
ABDILAAHI,11
ABDILADHIF,3
ABDILADIF,24
ABDILADIIF,6
ABDILAHI,43
ABDILATIF,8
