Tilltalsnamn,Antal bärare
ADELIA,230
ADÉLIA,6
ADELICIA,2
ADELIE,36
ADÉLIE,9
ADELIN,20
ADELINA,627
ADÉLINA,2
ADELINA-MARIA,2
ADELINDE,3
ADELINE,313
ADELINË,4
ADÉLINE,2
ADELINN,9
ADELINNE,6
ADELISA,66
ADELISE,2
ADELISSA,4
ADELITA,5
ADELIYA,2
ADELJA,2
ADELJINA,2
ADELKA,2
ADELL,18
ADELLA,31
ADELLE,146
ADELMA,4
ADELYA,7
ADELYN,6
ADEMA,6
ADEN,20
ADENA,13
ADENIKE,10
ADEOLA,5
ADER,3
ADERINA,2
ADESA,2
ADESOLA,4
ADESSA,3
ADESUWA,9
ADETOLA,2
ADETOUN,2
ADEVIJA,13
ADEVIYE,3
ADEY,11
ADEYINKA,2
ADHANET,50
ADHANOM,2
ADHARA,2
ADHARI,2
ADHBA,2
ADHIRA,4
ADHORA,2
ADHRA,6
ADHRAA,19
ADHVIKA,2
ADHYA,5
ADI,5
ADIA,12
ADIAM,180
ADIAN,31
ADIANA,4
ADIANEZ,2
ADIBA,124
ADIBE,3
ADIBÉ,2
ADIBEH,9
ADIDJA,4
ADIEL,2
ADIELA,5
ADIELLA,2
ADIFET,5
ADIFETE,8
ADIGONI,2
ADIINA,2
ADIJA,2
ADIJANA,3
ADIKA,2
ADILA,103
ADILAH,6
ADILE,51
ADILI,2
ADILIA,3
ADILJA,6
ADILLA,2
ADILLAH,2
ADILYA,3
ADIMA,2
ADIN,2
ADINA,737
ADINAH,3
ADINA-LI,2
ADINDA,4
ADINE,40
ADINEH,4
ADIOLA,2
ADIRA,6
ADIS,5
ADISA,211
ADISE,2
ADISHA,2
ADISIA,2
ADITA,5
ADITHI,7
ADITI,73
ADITRI,11
ADITYA,3
ADIVA,6
ADIVIJE,2
ADIYA,8
ADIYAM,6
ADIYASUREN,2
ADJA,11
ADJANI,2
ADJI,5
ADJIA,2
ADJO,2
ADJOA,2
ADJOUA,6
ADJOVI,2
ADLA,45
ADLAN,3
ADLE,4
ADLEN,3
ADLI,2
ADLIJE,5
ADLIN,4
ADLINA,3
ADLINE,2
ADLJIJE,2
ADMA,6
ADMAS,2
ADMELA,2
ADMIRA,89
ADMIRANDA,2
ADN,3
ADNA,334
ADNAH,2
ADNANA,25
ADNELA,7
ADNI,15
